index;Dato Numérico;fecha_key;ubicacion_key;regimen_key
413;22.077,00;9;14;1
414;733.335,00;5;32;1
415;733.344,00;6;32;1
416;725.247,00;0;32;1
417;733.152,00;1;32;1
418;702.552,00;2;32;1
419;708.155,00;3;32;1
420;723.540,00;8;32;1
421;752.990,00;4;32;1
422;722.128,00;9;32;1
423;1.832.297,00;5;31;1
424;1.823.070,00;6;31;1
425;1.826.559,00;0;31;1
426;1.881.789,00;1;31;1
427;1.750.285,00;2;31;1
428;1.726.058,00;3;31;1
429;1.757.676,00;8;31;1
430;1.875.478,00;4;31;1
431;1.737.897,00;9;31;1
432;179.259,00;5;30;1
433;184.452,00;6;30;1
434;188.494,00;0;30;1
435;192.558,00;1;30;1
436;192.837,00;2;30;1
437;198.011,00;3;30;1
438;209.083,00;8;30;1
439;222.641,00;4;30;1
440;204.058,00;9;30;1
441;50.215,00;5;29;1
442;52.981,00;6;29;1
443;54.620,00;0;29;1
444;55.587,00;1;29;1
445;55.797,00;2;29;1
446;56.026,00;3;29;1
447;58.427,00;8;29;1
448;63.793,00;4;29;1
449;57.514,00;9;29;1
450;207.611,00;5;28;1
451;199.910,00;6;28;1
452;202.805,00;0;28;1
453;215.388,00;1;28;1
454;209.582,00;2;28;1
455;215.935,00;3;28;1
456;221.782,00;8;28;1
457;238.367,00;4;28;1
458;223.014,00;9;28;1
459;261.499,00;5;27;1
460;244.559,00;6;27;1
461;248.413,00;0;27;1
462;253.286,00;1;27;1
463;250.175,00;2;27;1
464;255.486,00;3;27;1
465;255.460,00;8;27;1
466;260.426,00;4;27;1
467;255.679,00;9;27;1
468;21.279,00;5;26;1
469;20.301,00;6;26;1
470;18.752,00;0;26;1
471;17.434,00;1;26;1
472;14.402,00;2;26;1
473;13.520,00;3;26;1
474;12.835,00;8;26;1
475;18.770,00;4;26;1
476;13.033,00;9;26;1
477;52.426,00;5;25;1
478;52.248,00;6;25;1
479;53.664,00;0;25;1
480;53.581,00;1;25;1
481;52.797,00;2;25;1
482;53.462,00;3;25;1
483;40.363,00;8;25;1
484;42.008,00;4;25;1
485;53.028,00;9;25;1
486;35.860,00;5;33;1
487;37.013,00;6;33;1
488;37.982,00;0;33;1
489;39.154,00;1;33;1
490;40.296,00;2;33;1
491;37.891,00;3;33;1
492;25.378,00;8;33;1
493;25.661,00;4;33;1
494;38.166,00;9;33;1
495;63.548,00;5;24;1
496;61.879,00;6;24;1
497;59.793,00;0;24;1
498;57.354,00;1;24;1
499;55.108,00;2;24;1
500;56.195,00;3;24;1
501;59.088,00;8;24;1
502;60.098,00;4;24;1
503;58.925,00;9;24;1
504;26.306,00;5;36;1
505;26.970,00;6;36;1
506;27.164,00;0;36;1
507;26.997,00;1;36;1
508;26.106,00;2;36;1
509;26.790,00;3;36;1
510;21.854,00;8;36;1
511;22.858,00;4;36;1
512;26.737,00;9;36;1
513;69.847,00;5;23;1
514;71.488,00;6;23;1
515;70.913,00;0;23;1
516;67.006,00;1;23;1
517;69.209,00;2;23;1
518;68.658,00;3;23;1
519;64.886,00;8;23;1
520;61.743,00;4;23;1
521;64.804,00;9;23;1
522;398.341,00;5;6;1
523;396.561,00;6;6;1
524;389.293,00;0;6;1
525;375.347,00;1;6;1
526;364.486,00;2;6;1
527;368.213,00;3;6;1
528;367.528,00;8;6;1
529;372.243,00;4;6;1
530;368.961,00;9;6;1
531;736.155,00;5;5;1
532;743.758,00;6;5;1
533;739.705,00;0;5;1
534;755.455,00;1;5;1
535;740.314,00;2;5;1
536;752.549,00;3;5;1
537;763.349,00;8;5;1
538;784.749,00;4;5;1
539;762.852,00;9;5;1
540;683.883,00;5;21;1
541;689.726,00;6;21;1
542;706.957,00;0;21;1
543;727.660,00;1;21;1
544;707.142,00;2;21;1
545;701.831,00;3;21;1
546;744.560,00;8;21;1
547;788.330,00;4;21;1
548;727.566,00;9;21;1
549;921.524,00;5;22;1
550;928.973,00;6;22;1
551;952.323,00;0;22;1
552;972.929,00;1;22;1
