index;Dato Numérico;fecha_key;ubicacion_key;causa_key;sexo_key
402;5,00;2;0;4;0
403;1,00;0;1;4;0
404;3,00;1;1;4;0
405;1,00;2;1;4;0
406;10,00;0;2;4;0
407;9,00;1;2;4;0
408;5,00;2;2;4;0
409;13,00;0;3;4;0
410;9,00;1;3;4;0
411;5,00;2;3;4;0
412;13,00;0;4;4;0
413;19,00;1;4;4;0
414;12,00;2;4;4;0
415;3,00;0;5;4;0
416;2,00;1;5;4;0
417;5,00;2;5;4;0
418;0,00;0;6;4;0
419;0,00;1;6;4;0
420;0,00;2;6;4;0
421;7,00;0;7;4;0
422;6,00;1;7;4;0
423;8,00;2;7;4;0
424;3,00;0;8;4;0
425;3,00;1;8;4;0
426;1,00;2;8;4;0
427;0,00;0;9;4;0
428;2,00;1;9;4;0
429;1,00;2;9;4;0
430;4,00;0;10;4;0
431;5,00;1;10;4;0
432;1,00;2;10;4;0
433;0,00;0;11;4;0
434;1,00;1;11;4;0
435;2,00;2;11;4;0
436;3,00;0;12;4;0
437;1,00;1;12;4;0
438;2,00;2;12;4;0
439;1,00;0;13;4;0
440;1,00;1;13;4;0
441;1,00;2;13;4;0
442;0,00;0;14;4;0
443;1,00;0;15;4;0
444;0,00;1;15;4;0
445;2,00;2;15;4;0
446;0,00;0;16;4;0
447;0,00;1;16;4;0
448;0,00;2;16;4;0
449;8,00;0;17;4;0
450;3,00;1;17;4;0
451;4,00;2;17;4;0
452;1,00;0;18;4;0
453;4,00;1;18;4;0
454;3,00;2;18;4;0
455;5,00;0;19;4;0
456;1,00;1;19;4;0
457;3,00;2;19;4;0
458;3,00;0;20;4;0
459;0,00;1;20;4;0
460;1,00;2;20;4;0
461;1,00;0;21;4;0
462;2,00;1;21;4;0
463;1,00;2;21;4;0
464;2,00;0;22;4;0
465;3,00;1;22;4;0
466;0,00;2;22;4;0
467;2,00;0;23;4;0
468;0,00;1;23;4;0
469;0,00;2;23;4;0
470;2,00;0;24;4;0
471;0,00;1;24;4;0
472;0,00;2;24;4;0
473;1,00;0;25;4;0
474;1,00;1;25;4;0
475;0,00;2;25;4;0
476;0,00;0;26;4;0
477;0,00;1;26;4;0
478;0,00;2;26;4;0
479;0,00;0;27;4;0
480;0,00;1;27;4;0
481;2,00;2;27;4;0
482;4,00;0;28;4;0
483;5,00;1;28;4;0
484;1,00;2;28;4;0
485;0,00;0;29;4;0
486;0,00;1;29;4;0
487;0,00;2;29;4;0
488;0,00;0;30;4;0
489;2,00;1;30;4;0
490;2,00;2;30;4;0
491;3,00;0;31;4;0
492;3,00;1;31;4;0
493;5,00;2;31;4;0
494;0,00;0;32;4;0
495;1,00;1;32;4;0
496;0,00;2;32;4;0
497;0,00;1;33;4;0
498;0,00;2;33;4;0
499;0,00;2;34;4;0
500;17,00;0;0;5;0
501;31,00;1;0;5;0
502;19,00;2;0;5;0
503;2,00;0;1;5;0
504;1,00;1;1;5;0
505;1,00;2;1;5;0
506;12,00;0;2;5;0
507;11,00;1;2;5;0
508;7,00;2;2;5;0
509;8,00;0;3;5;0
510;16,00;1;3;5;0
511;15,00;2;3;5;0
512;52,00;0;4;5;0
513;29,00;1;4;5;0
514;22,00;2;4;5;0
515;3,00;0;5;5;0
516;5,00;1;5;5;0
517;2,00;2;5;5;0
518;6,00;0;6;5;0
519;14,00;1;6;5;0
520;12,00;2;6;5;0
521;3,00;0;7;5;0
522;4,00;1;7;5;0
523;5,00;2;7;5;0
524;5,00;0;8;5;0
525;7,00;1;8;5;0
526;3,00;2;8;5;0
527;6,00;0;9;5;0
528;2,00;1;9;5;0
529;2,00;2;9;5;0
530;14,00;0;10;5;0
531;18,00;1;10;5;0
532;8,00;2;10;5;0
533;4,00;0;11;5;0
534;3,00;1;11;5;0
535;0,00;2;11;5;0
536;2,00;0;12;5;0
537;0,00;1;12;5;0
538;0,00;2;12;5;0
539;0,00;0;13;5;0
540;3,00;1;13;5;0
541;4,00;2;13;5;0
542;0,00;0;14;5;0
543;3,00;0;15;5;0
544;2,00;1;15;5;0
545;1,00;2;15;5;0
546;0,00;0;16;5;0
547;1,00;1;16;5;0
548;2,00;2;16;5;0
549;3,00;0;17;5;0
550;6,00;1;17;5;0
551;1,00;2;17;5;0
552;10,00;0;18;5;0
553;8,00;1;18;5;0
554;2,00;2;18;5;0
555;6,00;0;19;5;0
556;10,00;1;19;5;0
557;10,00;2;19;5;0
558;28,00;0;20;5;0
559;13,00;1;20;5;0
560;3,00;2;20;5;0
561;3,00;0;21;5;0
562;0,00;1;21;5;0
563;1,00;2;21;5;0
564;2,00;0;22;5;0
565;2,00;1;22;5;0
566;1,00;2;22;5;0
567;3,00;0;23;5;0
568;0,00;1;23;5;0
569;0,00;2;23;5;0
570;3,00;0;24;5;0
571;0,00;1;24;5;0
572;0,00;2;24;5;0
573;0,00;0;25;5;0
574;0,00;1;25;5;0
575;0,00;2;25;5;0
576;0,00;0;26;5;0
577;0,00;1;26;5;0
578;0,00;2;26;5;0
579;8,00;0;27;5;0
580;1,00;1;27;5;0
581;3,00;2;27;5;0
582;3,00;0;28;5;0
583;2,00;1;28;5;0
584;1,00;2;28;5;0
585;3,00;0;29;5;0
586;1,00;1;29;5;0
587;1,00;2;29;5;0
588;27,00;0;30;5;0
589;10,00;1;30;5;0
590;10,00;2;30;5;0
591;18,00;0;31;5;0
592;14,00;1;31;5;0
593;11,00;2;31;5;0
594;10,00;0;32;5;0
595;2,00;1;32;5;0
596;1,00;2;32;5;0
597;0,00;1;33;5;0
598;0,00;2;33;5;0
599;0,00;2;34;5;0
600;1,00;0;0;6;0
601;0,00;1;0;6;0
602;1,00;2;0;6;0
603;2,00;0;1;6;0
604;7,00;1;1;6;0
605;0,00;2;1;6;0
606;0,00;0;2;6;0
607;0,00;1;2;6;0
608;0,00;2;2;6;0
609;0,00;0;3;6;0
610;0,00;1;3;6;0
611;0,00;2;3;6;0
612;30,00;0;4;6;0
613;16,00;1;4;6;0
614;9,00;2;4;6;0
615;0,00;0;5;6;0
616;7,00;1;5;6;0
617;1,00;2;5;6;0
618;3,00;0;6;6;0
619;1,00;1;6;6;0
620;2,00;2;6;6;0
621;1,00;0;7;6;0
622;0,00;1;7;6;0
623;0,00;2;7;6;0
624;1,00;0;8;6;0
625;0,00;1;8;6;0
626;1,00;2;8;6;0
627;10,00;0;9;6;0
628;0,00;1;9;6;0
629;0,00;2;9;6;0
630;15,00;0;10;6;0
631;7,00;1;10;6;0
632;1,00;2;10;6;0
633;6,00;0;11;6;0
634;3,00;1;11;6;0
635;1,00;2;11;6;0
636;0,00;0;12;6;0
637;0,00;1;12;6;0
638;0,00;2;12;6;0
639;0,00;0;13;6;0
640;0,00;1;13;6;0
641;0,00;2;13;6;0
642;0,00;0;14;6;0
643;0,00;0;15;6;0
644;0,00;1;15;6;0
645;0,00;2;15;6;0
646;0,00;0;16;6;0
647;0,00;1;16;6;0
648;0,00;2;16;6;0
649;0,00;0;17;6;0
650;0,00;1;17;6;0
651;0,00;2;17;6;0
652;21,00;0;18;6;0
653;6,00;1;18;6;0
654;2,00;2;18;6;0
655;19,00;0;19;6;0
656;11,00;1;19;6;0
657;13,00;2;19;6;0
658;10,00;0;20;6;0
659;5,00;1;20;6;0
660;0,00;2;20;6;0
661;0,00;0;21;6;0
662;0,00;1;21;6;0
663;0,00;2;21;6;0
664;0,00;0;22;6;0
665;0,00;1;22;6;0
666;0,00;2;22;6;0
667;0,00;0;23;6;0
668;0,00;1;23;6;0
669;2,00;2;23;6;0
670;2,00;0;24;6;0
671;1,00;1;24;6;0
672;0,00;2;24;6;0
673;4,00;0;25;6;0
674;0,00;1;25;6;0
675;0,00;2;25;6;0
676;0,00;0;26;6;0
677;0,00;1;26;6;0
678;0,00;2;26;6;0
679;1,00;0;27;6;0
680;2,00;1;27;6;0
681;0,00;2;27;6;0
682;2,00;0;28;6;0
683;1,00;1;28;6;0
684;1,00;2;28;6;0
685;7,00;0;29;6;0
